DIA;Usos bicis abono anual ;Usos bicis abono ocasional ;Usos bicis total;;Usos abono anual acumulado;Usos abono ocasional acumulado;Usos total acumulado desde inicio;;Acumulado mes total
21/06/2014;;;;;;;;;
22/06/2014;;;;;;;;;
23/06/2014;17;;17;;17;;17;;
24/06/2014;24;;24;;41;;41;;
25/06/2014;105;;105;;146;;146;;
26/06/2014;120;;120;;266;;266;;
27/06/2014;131;;131;;397;;397;;
28/06/2014;101;;101;;498;;498;;
29/06/2014;107;;107;;605;;605;;
30/06/2014;121;;121;;726;;726;;726
01/07/2014;124;;124;;850;;850;;
02/07/2014;128;;128;;978;;978;;
03/07/2014;85;;85;;1.063;;1.063;;
04/07/2014;121;;121;;1.184;;1.184;;
05/07/2014;783;;783;;1.967;;1.967;;
06/07/2014;1.230;;1.230;;3.197;;3.197;;
07/07/2014;1.324;;1.324;;4.521;;4.521;;
08/07/2014;1.774;;1.774;;6.295;;6.295;;
09/07/2014;1.874;;1.874;;8.169;;8.169;;
10/07/2014;2.266;;2.266;;10.435;;10.435;;
11/07/2014;2.212;;2.212;;12.647;;12.647;;
12/07/2014;1.949;;1.949;;14.596;;14.596;;
13/07/2014;1.790;;1.790;;16.386;;16.386;;
14/07/2014;2.311;;2.311;;18.697;;18.697;;
15/07/2014;2.537;;2.537;;21.234;;21.234;;
16/07/2014;2.673;;2.673;;23.907;;23.907;;
17/07/2014;2.651;;2.651;;26.558;;26.558;;
18/07/2014;2.547;;2.547;;29.105;;29.105;;
19/07/2014;2.359;;2.359;;31.464;;31.464;;
20/07/2014;2.371;;2.371;;33.835;;33.835;;
21/07/2014;2.676;;2.676;;36.511;;36.511;;
22/07/2014;2.935;;2.935;;39.446;;39.446;;
23/07/2014;2.927;;2.927;;42.373;;42.373;;
24/07/2014;3.204;;3.204;;45.577;;45.577;;
25/07/2014;3.084;;3.084;;48.661;;48.661;;
26/07/2014;2.467;;2.467;;51.128;;51.128;;
27/07/2014;2.321;;2.321;;53.449;;53.449;;
28/07/2014;2.894;;2.894;;56.343;;56.343;;
29/07/2014;3.168;;3.168;;59.511;;59.511;;
30/07/2014;3.236;;3.236;;62.747;;62.747;;
31/07/2014;3.365;;3.365;;66.112;;66.112;;65.386
01/08/2014;3.048;;3.048;;69.160;;69.160;;
02/08/2014;2.532;;2.532;;71.692;;71.692;;
03/08/2014;2.624;;2.624;;74.316;;74.316;;
04/08/2014;2.813;;2.813;;77.129;;77.129;;
05/08/2014;2.830;;2.830;;79.959;;79.959;;
06/08/2014;3.054;;3.054;;83.013;;83.013;;
07/08/2014;2.967;;2.967;;85.980;;85.980;;
08/08/2014;2.907;;2.907;;88.887;;88.887;;
09/08/2014;2.582;;2.582;;91.469;;91.469;;
10/08/2014;2.687;;2.687;;94.156;;94.156;;
11/08/2014;2.900;;2.900;;97.056;;97.056;;
12/08/2014;3.008;;3.008;;100.064;;100.064;;
13/08/2014;3.102;;3.102;;103.166;;103.166;;
14/08/2014;2.791;;2.791;;105.957;;105.957;;
15/08/2014;2.392;;2.392;;108.349;;108.349;;
16/08/2014;2.254;;2.254;;110.603;;110.603;;
17/08/2014;2.444;;2.444;;113.047;;113.047;;
18/08/2014;2.945;;2.945;;115.992;;115.992;;
19/08/2014;3.155;;3.155;;119.147;;119.147;;
20/08/2014;3.358;;3.358;;122.505;;122.505;;
21/08/2014;3.678;;3.678;;126.183;;126.183;;
22/08/2014;3.419;;3.419;;129.602;;129.602;;
23/08/2014;3.158;;3.158;;132.760;;132.760;;
24/08/2014;3.421;;3.421;;136.181;;136.181;;
25/08/2014;3.556;;3.556;;139.737;;139.737;;
26/08/2014;3.991;;3.991;;143.728;;143.728;;
27/08/2014;4.007;;4.007;;147.735;;147.735;;
28/08/2014;4.125;;4.125;;151.860;;151.860;;
29/08/2014;4.255;;4.255;;156.115;;156.115;;
30/08/2014;4.002;;4.002;;160.117;;160.117;;
31/08/2014;4.323;;4.323;;164.440;;164.440;;98.328
01/09/2014;4.292;;4.292;;168.732;;168.732;;
02/09/2014;4.608;;4.608;;173.340;;173.340;;
03/09/2014;5.163;;5.163;;178.503;;178.503;;
04/09/2014;5.334;;5.334;;183.837;;183.837;;
05/09/2014;4.957;;4.957;;188.794;;188.794;;
06/09/2014;4.791;;4.791;;193.585;;193.585;;
07/09/2014;4.724;;4.724;;198.309;;198.309;;
08/09/2014;4.917;;4.917;;203.226;;203.226;;
09/09/2014;5.209;;5.209;;208.435;;208.435;;
10/09/2014;5.297;;5.297;;213.732;;213.732;;
11/09/2014;5.246;;5.246;;218.978;;218.978;;
12/09/2014;5.339;;5.339;;224.317;;224.317;;
13/09/2014;4.827;;4.827;;229.144;;229.144;;
14/09/2014;4.978;;4.978;;234.122;;234.122;;
15/09/2014;5.022;;5.022;;239.144;;239.144;;
16/09/2014;5.021;;5.021;;244.165;;244.165;;
17/09/2014;4.739;;4.739;;248.904;;248.904;;
18/09/2014;4.319;;4.319;;253.223;;253.223;;
19/09/2014;4.858;;4.858;;258.081;;258.081;;
20/09/2014;5.028;;5.028;;263.109;;263.109;;
21/09/2014;4.955;;4.955;;268.064;;268.064;;
22/09/2014;4.750;;4.750;;272.814;;272.814;;
23/09/2014;5.403;;5.403;;278.217;;278.217;;
24/09/2014;4.867;;4.867;;283.084;;283.084;;
25/09/2014;5.904;;5.904;;288.988;;288.988;;
26/09/2014;5.595;;5.595;;294.583;;294.583;;
27/09/2014;5.083;;5.083;;299.666;;299.666;;
28/09/2014;4.008;;4.008;;303.674;;303.674;;
